method,field,field_density_group,f1,recall,n
llm_dynamic_3_shot,Int,low,0.33229953211934,0.4053587077359123,89
llm_dynamic_3_shot,Int,medium,0.4110079479115522,0.4113958141738978,74
llm_dynamic_3_shot,Int,high,0.5060286505927437,0.41685495712653103,21
llm_dynamic_3_shot,Out,low,0.35070285572906945,0.5182010799657858,51
llm_dynamic_3_shot,Out,medium,0.48827328274285176,0.5062093975406544,56
llm_dynamic_3_shot,Out,high,0.5521324466019474,0.46478482977699487,77
llm_dynamic_3_shot,Pop,low,0.6157897709853192,0.5960478865559079,66
llm_dynamic_3_shot,Pop,medium,0.5603620682913275,0.46624592674875565,75
llm_dynamic_3_shot,Pop,high,0.44659769119969456,0.3311956378414391,43
llm_dynamic_4_shot,Int,low,0.3398094920952798,0.35864590119164513,89
llm_dynamic_4_shot,Int,medium,0.37274672690538563,0.3119890824475403,74
llm_dynamic_4_shot,Int,high,0.4737856392659429,0.3542323057581261,21
llm_dynamic_4_shot,Out,low,0.3398641810610366,0.44139237668649434,51
llm_dynamic_4_shot,Out,medium,0.4747692386330495,0.4300630865157066,56
llm_dynamic_4_shot,Out,high,0.5146294929427222,0.4129455549398448,77
llm_dynamic_4_shot,Pop,low,0.5725749952956396,0.5180563915189584,66
llm_dynamic_4_shot,Pop,medium,0.505944762581944,0.38996210609541615,75
llm_dynamic_4_shot,Pop,high,0.3619441932526154,0.24754138972621914,43
llm_dynamic_5_shot,Int,low,0.35423277143014253,0.3506936116878024,89
llm_dynamic_5_shot,Int,medium,0.3710286433748089,0.31382570059901094,74
llm_dynamic_5_shot,Int,high,0.458252305876384,0.3305381015023503,21
llm_dynamic_5_shot,Out,low,0.33829300476725005,0.41597433068021306,51
llm_dynamic_5_shot,Out,medium,0.468003950582137,0.4222522923048987,56
llm_dynamic_5_shot,Out,high,0.492489050711968,0.3755052211779565,77
llm_dynamic_5_shot,Pop,low,0.5518674375667547,0.4940340927640393,66
llm_dynamic_5_shot,Pop,medium,0.49808874885274196,0.38180572993388195,75
llm_dynamic_5_shot,Pop,high,0.39657167465633486,0.2758484614797753,43
llm_zero_shot,Int,low,0.32545757656595736,0.3255718389536701,89
llm_zero_shot,Int,medium,0.3342757870723844,0.2632757306385324,74
llm_zero_shot,Int,high,0.38446423254864326,0.27990765520876915,21
llm_zero_shot,Out,low,0.3325061112163327,0.31380854983796164,51
llm_zero_shot,Out,medium,0.37010056863822377,0.29276705193467106,56
llm_zero_shot,Out,high,0.33339187809649723,0.24622923593413146,77
llm_zero_shot,Pop,low,0.5647683468609447,0.49190566563561217,66
llm_zero_shot,Pop,medium,0.5669788907179856,0.460521740405345,75
llm_zero_shot,Pop,high,0.3370749584347053,0.22651219938713094,43
ml_decomposed,Int,low,0.10697119502393077,0.7179512804364963,89
ml_decomposed,Int,medium,0.20693710583207783,0.737044128693249,74
ml_decomposed,Int,high,0.32307694393340264,0.7128551188352649,21
ml_decomposed,Out,low,0.1214658745733835,0.669136800019153,51
ml_decomposed,Out,medium,0.21789865869996114,0.7531985250354916,56
ml_decomposed,Out,high,0.3520318943538188,0.8198825719229288,77
ml_decomposed,Pop,low,0.1844922417533683,0.707205673114764,66
ml_decomposed,Pop,medium,0.3144074191036861,0.7674591198301685,75
ml_decomposed,Pop,high,0.4067998069442238,0.7923025566215525,43
ml_end_to_end,Int,low,0.10675835907427915,0.7154907005734918,89
ml_end_to_end,Int,medium,0.20074761317672143,0.7528537157523428,74
ml_end_to_end,Int,high,0.3118933957286904,0.728220001722983,21
ml_end_to_end,Out,low,0.11968223911031302,0.691560264354382,51
ml_end_to_end,Out,medium,0.2196604894755895,0.8069174110971787,56
ml_end_to_end,Out,high,0.35548471528930287,0.8235046165903439,77
ml_end_to_end,Pop,low,0.19012048566762463,0.7611330885395057,66
ml_end_to_end,Pop,medium,0.3002598389955316,0.7876943119620424,75
ml_end_to_end,Pop,high,0.414645874672069,0.8825850783941535,43
